anime_id;name;type;episodes;rating;members;genre 1;genre 2;genre 3;genre 4;genre 5;genre 6;genre 7;;;;;;
32281;Kimi no Na wa.;Movie;1;9.37;200630;Drama; Romance; School; Supernatural;;;;;;;;;
5114;Fullmetal Alchemist: Brotherhood;TV;64;9.26;793665;Action; Adventure; Drama; Fantasy; Magic; Military; Shounen;;;;;;
28977;Gintama°;TV;51;9.25;114262;Action; Comedy; Historical; Parody; Samurai; Sci-Fi; Shounen;;;;;;
9253;Steins;;;;;;;;;;;;;;;;;
9969;Gintama&#039;;;;;;;;;;;;;;;;;
32935;Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou;TV;10;9.15;93351;Comedy; Drama; School; Shounen; Sports;;;;;;;;
11061;Hunter x Hunter (2011);TV;148;9.13;425855;Action; Adventure; Shounen; Super Power;;;;;;;;;
820;Ginga Eiyuu Densetsu;OVA;110;9.11;80679;Drama; Military; Sci-Fi; Space;;;;;;;;;
15335;Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare;Movie;1;9.10;72534;Action; Comedy; Historical; Parody; Samurai; Sci-Fi; Shounen;;;;;;
15417;Gintama&#039;;;;;;;;;;;;;;;;;
4181;Clannad: After Story;TV;24;9.06;456749;Drama; Fantasy; Romance; Slice of Life; Supernatural;;;;;;;;
28851;Koe no Katachi;Movie;1;9.05;102733;Drama; School; Shounen;;;;;;;;;;
918;Gintama;TV;201;9.04;336376;Action; Comedy; Historical; Parody; Samurai; Sci-Fi; Shounen;;;;;;
2904;Code Geass: Hangyaku no Lelouch R2;TV;25;8.98;572888;Action; Drama; Mecha; Military; Sci-Fi; Super Power;;;;;;;
28891;Haikyuu!! Second Season;TV;25;8.93;179342;Comedy; Drama; School; Shounen; Sports;;;;;;;;
199;Sen to Chihiro no Kamikakushi;Movie;1;8.93;466254;Adventure; Drama; Supernatural;;;;;;;;;;
23273;Shigatsu wa Kimi no Uso;TV;22;8.92;416397;Drama; Music; Romance; School; Shounen;;;;;;;;
24701;Mushishi Zoku Shou 2nd Season;TV;10;8.88;75894;Adventure; Fantasy; Historical; Mystery; Seinen; Slice of Life; Supernatural;;;;;;
12355;Ookami Kodomo no Ame to Yuki;Movie;1;8.84;226193;Fantasy; Slice of Life;;;;;;;;;;;
1575;Code Geass: Hangyaku no Lelouch;TV;25;8.83;715151;Action; Mecha; Military; School; Sci-Fi; Super Power;;;;;;;
263;Hajime no Ippo;TV;75;8.83;157670;Comedy; Drama; Shounen; Sports;;;;;;;;;
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;OVA;4;8.83;129307;Action; Drama; Historical; Martial Arts; Romance; Samurai;;;;;;;
1;Cowboy Bebop;TV;26;8.82;486824;Action; Adventure; Comedy; Drama; Sci-Fi; Space;;;;;;;
30276;One Punch Man;TV;12;8.82;552458;Action; Comedy; Parody; Sci-Fi; Seinen; Super Power; Supernatural;;;;;;
164;Mononoke Hime;Movie;1;8.81;339556;Action; Adventure; Fantasy;;;;;;;;;;
7311;Suzumiya Haruhi no Shoushitsu;Movie;1;8.81;240297;Comedy; Mystery; Romance; School; Sci-Fi; Supernatural;;;;;;;
17074;Monogatari Series: Second Season;TV;26;8.80;205959;Comedy; Mystery; Romance; Supernatural; Vampire;;;;;;;;
21939;Mushishi Zoku Shou;TV;10;8.80;101351;Adventure; Fantasy; Historical; Mystery; Seinen; Slice of Life; Supernatural;;;;;;
457;Mushishi;TV;26;8.78;300030;Adventure; Fantasy; Historical; Mystery; Seinen; Slice of Life; Supernatural;;;;;;
2001;Tengen Toppa Gurren Lagann;TV;27;8.78;562962;Action; Adventure; Comedy; Mecha; Sci-Fi;;;;;;;;
245;Great Teacher Onizuka;TV;43;8.77;268487;Comedy; Drama; School; Shounen; Slice of Life;;;;;;;;
32983;Natsume Yuujinchou Go;TV;13;8.76;38865;Drama; Fantasy; Shoujo; Slice of Life; Supernatural;;;;;;;;
5258;Hajime no Ippo: New Challenger;TV;26;8.75;88995;Comedy; Drama; Shounen; Sports;;;;;;;;;
28957;Mushishi Zoku Shou: Suzu no Shizuku;Movie;1;8.75;32266;Adventure; Fantasy; Historical; Mystery; Seinen; Slice of Life; Supernatural;;;;;;
11665;Natsume Yuujinchou Shi;TV;13;8.75;98431;Drama; Fantasy; Shoujo; Slice of Life; Supernatural;;;;;;;;
431;Howl no Ugoku Shiro;Movie;1;8.74;333186;Adventure; Drama; Fantasy; Romance;;;;;;;;;
11741;Fate/Zero 2nd Season;TV;12;8.73;340973;Action; Fantasy; Supernatural; Thriller;;;;;;;;;
31757;Kizumonogatari II: Nekketsu-hen;Movie;1;8.73;34347;Action; Mystery; Supernatural; Vampire;;;;;;;;;
19;Monster;TV;74;8.72;247562;Drama; Horror; Mystery; Police; Psychological; Seinen; Thriller;;;;;;
12365;Bakuman. 3rd Season;TV;25;8.71;133620;Comedy; Drama; Romance; Shounen;;;;;;;;;
1535;Death Note;TV;37;8.71;1013917;Mystery; Police; Psychological; Supernatural; Thriller;;;;;;;;
32366;Gintama°: Aizome Kaori-hen;OVA;2;8.69;16947;Comedy; Parody;;;;;;;;;;;
30654;Ansatsu Kyoushitsu (TV) 2nd Season;TV;25;8.68;176475;Action; Comedy; School; Shounen;;;;;;;;;
20583;Haikyuu!!;TV;25;8.68;284498;Comedy; Drama; School; Shounen; Sports;;;;;;;;
19647;Hajime no Ippo: Rising;TV;25;8.68;66756;Comedy; Drama; Shounen; Sports;;;;;;;;;
4282;Kara no Kyoukai 5: Mujun Rasen;Movie;1;8.68;111074;Action; Drama; Mystery; Romance; Supernatural; Thriller;;;;;;;
10379;Natsume Yuujinchou San;TV;13;8.67;102322;Drama; Fantasy; Shoujo; Slice of Life; Supernatural;;;;;;;;
22135;Ping Pong The Animation;TV;11;8.67;97187;Psychological; Seinen; Sports;;;;;;;;;;
21329;Mushishi Special: Hihamukage;Special;1;8.66;49036;Adventure; Fantasy; Historical; Mystery; Seinen; Slice of Life; Supernatural;;;;;;
31043;Boku dake ga Inai Machi;TV;12;8.65;402381;Mystery; Psychological; Seinen; Supernatural;;;;;;;;;
7785;Yojouhan Shinwa Taikei;TV;11;8.65;122531;Mystery; Psychological; Romance;;;;;;;;;;
3297;Aria The Origination;TV;13;8.64;56162;Fantasy; Sci-Fi; Shounen; Slice of Life;;;;;;;;;
30709;Kamisama Hajimemashita: Kako-hen;OVA;4;8.64;33422;Comedy; Demons; Fantasy; Shoujo; Supernatural;;;;;;;;
6114;Rainbow: Nisha Rokubou no Shichinin;TV;26;8.64;139474;Drama; Historical; Seinen; Thriller;;;;;;;;;
31240;Re:Zero kara Hajimeru Isekai Seikatsu;TV;25;8.64;355839;Drama; Fantasy; Psychological; Thriller;;;;;;;;;
4565;Tengen Toppa Gurren Lagann Movie: Lagann-hen;Movie;1;8.64;82253;Action; Mecha; Sci-Fi; Space; Super Power;;;;;;;;
